"gene_id","p_threshold","method","n_snps","beta","se","pvalue","intercept","intercept_se","intercept_pvalue"
"ENSG00000116991.12","0.0001","MR-Egger",22,1.69592156909415,0.764619642295876,0.0265552602291934,-0.122811963570406,0.054765612034625,0.0249289826753072
"ENSG00000212916.6","0.0001","MR-Egger",20,-0.0603219847475863,0.630341497397293,0.923760978582664,0.0734584241738971,0.061558344560947,0.232746486483768
"ENSG00000135778.12","0.0001","MR-Egger",21,-0.083626591846729,0.0800606753342488,0.296235541734766,-0.0718345467852967,0.0434707227264394,0.0984365192105583
"ENSG00000231940.1","0.0001","MR-Egger",22,0.662836390246499,0.508819823802506,0.192679346122399,-0.0757380654589633,0.0495651433474941,0.126499882986819
"ENSG00000135749.19","0.0001","MR-Egger",22,-0.411654732533583,2.73500744813101,0.880359734538212,-0.00598837313279713,0.064450829142894,0.925972021602974
"ENSG00000143674.11","0.0001","MR-Egger",23,-0.420467191357567,0.169228743722679,0.0129693943991136,0.0298355524729914,0.0414881204487568,0.472057848386194
"ENSG00000289305.1","0.0001","MR-Egger",30,-1.40562381205874,0.687288269799867,0.0408377480873696,0.0786346158618223,0.0387187722428589,0.0422634068565979
"ENSG00000135750.15","0.0001","MR-Egger",30,-0.160897576333925,1.27346163780664,0.899457552814094,0.0202141090814555,0.0415826557112559,0.626882965810715
"ENSG00000286666.1","0.0001","MR-Egger",32,0.183247432105885,0.307065328900323,0.550660828639998,-0.0401861325242093,0.0395469720731515,0.309552221101839
"ENSG00000215835.2","0.0001","MR-Egger",33,0.268592821065133,0.29007212933265,0.354471010389058,-0.0178557607743317,0.0314720374229039,0.570474247262966
"ENSG00000143157.12","0.0001","MR-Egger",39,-0.0781673971299321,0.584580562315841,0.89362766306045,0.0392053447582707,0.0272100584218923,0.14962984660258
"ENSG00000225171.2","0.0001","MR-Egger",40,-0.206245753757403,0.119272021426888,0.0837724448866226,0.0175418260143242,0.0297193982189013,0.555024155612207
"ENSG00000152382.6","0.0001","MR-Egger",40,-0.793684736970861,0.557058423643567,0.154221305684787,0.0718941192914709,0.0236886821562179,0.00240570401872398
"ENSG00000143195.13","0.0001","MR-Egger",43,-0.103160066964953,0.297519511065728,0.728791324239352,0.047538230159732,0.0303196817367538,0.11690446283628
"ENSG00000143194.13","0.0001","MR-Egger",43,-0.0102162344454333,0.0701126590404562,0.884148988010706,-0.0272028423983906,0.0275179793378868,0.3228843571936
"ENSG00000198842.10","0.0001","MR-Egger",46,0.282190992055362,0.271946725132185,0.299423658482365,0.036227184473736,0.0205532747268193,0.0779681212858012
"ENSG00000143167.12","0.0001","MR-Egger",48,-0.360450760375852,0.289481380599928,0.213072784609697,0.0588630707428038,0.0292789489323508,0.0443864440231336
"ENSG00000231605.6","0.0001","MR-Egger",50,0.183979435763054,0.141365498977828,0.19310614524176,0.024885998939111,0.0245216819359717,0.310174029703028
"ENSG00000272205.1","0.0001","MR-Egger",50,0.0745669452698975,0.420773486596254,0.85934031308144,0.0259191738989822,0.0251273612089442,0.302300797187621
"ENSG00000143190.23","0.0001","MR-Egger",50,0.648237678066143,0.887846449530296,0.465314614825028,-0.0110466457586607,0.0271661111515943,0.684277326815474
"ENSG00000287218.1","0.0001","MR-Egger",50,0.256183888009599,0.240504478429238,0.28678822232712,-0.00900466598539645,0.0199946107406598,0.652454736925274
"ENSG00000198821.11","0.0001","MR-Egger",50,-0.065564173322391,0.270926976982369,0.808780606841498,0.00562722237011273,0.0308273639333417,0.85515908434787
"ENSG00000143162.9","0.0001","MR-Egger",49,-0.106581546528688,0.193346446415917,0.581464726719714,0.0322031691017952,0.0179854573012631,0.0733717115094352
"ENSG00000198771.11","0.0001","MR-Egger",47,0.727487847166497,0.285313999414907,0.0107791004416371,-0.0631860266510316,0.0283408296944787,0.0257803109405355
"ENSG00000241666.2","0.0001","MR-Egger",47,-0.0623574063349744,0.328262967468687,0.849339107199183,0.00851675646000975,0.0317212580224292,0.788324211876418
"ENSG00000197965.12","0.0001","MR-Egger",45,0.563615856177171,0.429295797692307,0.189221825478048,-0.000508327338240606,0.0253958289547119,0.984030469943976
"ENSG00000143199.18","0.0001","MR-Egger",38,0.0389805963107283,0.0696911953514082,0.575934370598706,-0.00852551770938018,0.0212274658540853,0.687958754442706
"ENSG00000143164.16","0.0001","MR-Egger",37,-0.282952181961825,1.01267738573798,0.779930202518091,-0.0036678111753188,0.027439739162701,0.89366522212863
"ENSG00000143158.11","0.0001","MR-Egger",37,0.040899776435972,0.192990268573363,0.832164277956879,-0.0401569808518743,0.0230294524079399,0.081207440585946
"ENSG00000224837.1","0.0001","MR-Egger",35,0.323271634930918,0.486937195313705,0.506762162526994,-0.0101641289355791,0.0278387039640553,0.715030912504896
"ENSG00000143147.15","0.0001","MR-Egger",33,0.163039764607539,0.27029235248727,0.546377080969706,0.0240806789364345,0.0307434556130426,0.433463755073948
"ENSG00000143155.13","0.0001","MR-Egger",33,0.666049375029077,0.737280870758101,0.366320953703263,0.000736654720795107,0.0262034850798332,0.97757214301588
"ENSG00000228140.2","0.0001","MR-Egger",57,0.133373649636565,0.119213330476463,0.263233434146593,-0.0192770951929271,0.0172526369005433,0.263848139500229
"ENSG00000142634.13","0.0001","MR-Egger",57,-0.211753801914008,0.531357922034513,0.690251020231219,0.0241808185705794,0.0231715014420486,0.296689676180959
"ENSG00000162438.12","0.0001","MR-Egger",58,0.309475442430319,0.159930594943648,0.0529828217725103,-0.0258823635920745,0.0187347493361368,0.167120236620304
"ENSG00000142615.8","0.0001","MR-Egger",59,0.192984959465564,0.160856304891063,0.230242225864866,-0.0161863829615744,0.0226585643174917,0.475004300646944
"ENSG00000215704.10","0.0001","MR-Egger",59,0.112251245846886,0.147685245735623,0.447212253651169,0.0023063127070639,0.0201252227102985,0.90876366913231
"ENSG00000132906.18","0.0001","MR-Egger",62,-0.295826227014033,0.217550459714027,0.17389160461797,0.0130861908316024,0.0179621448187618,0.466281394017126
"ENSG00000116138.13","0.0001","MR-Egger",62,0.274220011212809,0.464313329157615,0.554793431608596,0.000770634681250711,0.021115711906102,0.970887032025187
"ENSG00000116771.6","0.0001","MR-Egger",62,-0.0214575809998532,0.130485646485172,0.869381631936371,0.000967172787493417,0.0174115144893928,0.955701982877711
"ENSG00000237301.1","0.0001","MR-Egger",62,0.157511012330747,0.260745887128673,0.54579138170171,-0.025468961399469,0.0201969725431663,0.207298518321165
