gene_id,n_snps,mean_F,median_F,min_F,p25_F,p75_F,n_weak_lt10,pct_weak_lt10,strength_flag
ENSG00000142856.17,32,110.64260052957547,16.29290517642562,0.977360858555305,2.7277017969787023,63.24428879594625,15,0.46875,very_strong
ENSG00000223345.4,9,91.63865895898887,94.88955617399783,70.43252433629375,73.86697305249135,101.58986892343317,0,0,adequate
ENSG00000223745.8,60,85.85136849463525,16.641094170651638,0.002069649153136737,1.9916999085497176,81.00682132115747,28,0.4666666666666667,adequate
ENSG00000272195.1,15,73.92228244215794,16.661060601559722,0.14250081550339316,5.2631006434501435,95.45377807299298,5,0.3333333333333333,adequate
ENSG00000203666.13,15,53.78403838173957,20.658799111867808,0.2112997238211921,3.6361892031850864,105.33356049512882,5,0.3333333333333333,adequate
ENSG00000260088.1,17,49.58940750285216,37.83042003847303,0.05520920018142433,1.4224362544489741,68.97409105689721,7,0.4117647058823529,adequate
ENSG00000286619.1,37,48.55253948462099,2.790295710384709,0.003427690521547605,0.6494386247048488,30.460440901614678,21,0.5675675675675675,adequate
ENSG00000213625.9,6,44.103283320093325,19.757784004817566,0.0016863434966138478,0.0572903225784846,90.96624375739322,3,0.5,adequate
ENSG00000231365.7,27,43.56374757459951,24.864333965037613,0.0077651552027961125,3.0644091568964704,62.14275770534423,10,0.37037037037037035,adequate
ENSG00000272750.1,23,41.05857667945373,6.166561665505168,0.20116217725026292,2.2510044101709066,63.622235058517134,14,0.6086956521739131,adequate
ENSG00000163041.13,25,38.99914359234879,20.53858157102585,0.0011686375626775488,3.302340666883636,60.44373003896812,8,0.32,adequate
ENSG00000198468.10,61,36.06303253009909,1.4354080357346914,0.002640180377337353,0.15825131729541045,18.54824170827114,36,0.5901639344262295,adequate
ENSG00000116874.12,27,35.022144468704866,20.033745368500675,0.011535434517678201,15.652524362980136,46.39607190313118,6,0.2222222222222222,adequate
ENSG00000142794.19,39,34.94413746466625,1.2823616891319516,0.023288111932626008,1.0512312664129948,4.535801419052343,33,0.8461538461538461,adequate
ENSG00000135778.12,13,33.45074253086106,2.474548395399154,0.1672061405024159,0.6954363315192112,28.33573047462595,8,0.6153846153846154,adequate
ENSG00000233184.8,41,32.16043520733148,17.561582127133715,0.006701071910818352,0.4297419809810384,49.93676827265059,18,0.43902439024390244,adequate
ENSG00000117335.20,16,31.827960487011612,5.904035546722438,0.05854575283315279,4.074102990964478,63.54366349757031,9,0.5625,adequate
ENSG00000084628.10,33,31.737403981081652,11.197176851911541,2.5547973906654593e-5,1.1411360411215246,43.183777467936366,16,0.48484848484848486,adequate
ENSG00000272865.2,28,31.403751462573517,5.703679751527827,2.6962556964012542e-5,1.5824406979160637,23.718693725112537,15,0.5357142857142857,adequate
ENSG00000122481.17,41,31.290272539569937,27.86620742748842,0.005050732593868251,4.462968980588302,44.97899769408932,11,0.2682926829268293,adequate
ENSG00000143194.13,32,30.951447902415488,17.16412884443441,0.003354589223721542,0.810926054796202,37.86147978353965,14,0.4375,adequate
ENSG00000238078.1,8,30.71096058726917,26.006646700608435,5.18489832027217e-4,10.16937384909438,41.52443656630681,2,0.25,adequate
ENSG00000272823.1,8,30.710613511990726,25.056607211312276,0.0303296777762297,14.479525163507953,36.07024263902216,2,0.25,adequate
ENSG00000156171.15,36,27.827622105641517,1.3265887171574142,6.041646040363718e-4,0.5229903692105466,8.993729683528844,27,0.75,adequate
ENSG00000229739.4,25,27.20102569398995,31.036655617792192,0.07624809604774081,17.68680930372847,33.88112957237098,1,0.04,adequate
ENSG00000137944.18,46,26.604533012665588,8.216607059381762,0.06067320780097732,0.9544602888428204,40.65384255116707,25,0.5434782608695652,adequate
ENSG00000272668.2,34,24.84256599839218,0.9106817109521355,0.004485365954764549,0.1442247829799924,2.6920347513335217,30,0.8823529411764706,adequate
ENSG00000224525.2,29,24.831026125599603,4.48116875558152,0.05026411537599078,0.6828181337581696,19.51515496799366,18,0.6206896551724138,adequate
ENSG00000197568.15,28,24.64563798923183,17.824425202336364,0.2740098454207986,5.306373739309467,35.42908194805543,9,0.32142857142857145,adequate
ENSG00000273198.1,24,24.24356473092099,23.728829787104345,7.308017557122883,16.63843299279315,32.33079479819364,1,0.041666666666666664,adequate
ENSG00000188672.19,63,24.19660766089904,1.4418616437235372,0.007993868003086237,0.386844609945084,2.3895629855762754,52,0.8253968253968254,adequate
ENSG00000162753.13,46,23.319678481172154,25.79247595931556,1.3341137085690675,20.956803056964368,26.017978449677408,4,0.08695652173913043,adequate
ENSG00000117226.12,46,22.3748303188965,2.7353247809353016,0.031648500896097394,0.8011064676628185,19.90395431842375,32,0.6956521739130435,adequate
ENSG00000067533.6,16,22.07701513210599,19.84906471475173,8.976875847966998e-5,8.976875847966998e-5,24.97039232581672,7,0.4375,adequate
ENSG00000134744.14,71,21.840154414303573,1.3041326874895631,8.673536354581613e-5,0.1300832869494116,52.932177644373496,43,0.6056338028169014,adequate
