gene_id,n_snps,mean_F,median_F,min_F,p25_F,p75_F,n_weak_lt10,pct_weak_lt10,strength_flag
ENSG00000142856.17,18,112.82779794145702,11.457460693076609,0.977360858555305,2.5966339881894496,85.05348087997514,9,0.5,very_strong
ENSG00000223345.4,5,96.39386844625248,101.58986892343317,70.43252433629375,94.88955617399783,107.47574125541863,0,0,adequate
ENSG00000223745.8,30,77.1739835728911,10.684587169210154,0.002069649153136737,1.7475327209626084,67.02193515163155,15,0.5,adequate
ENSG00000272195.1,11,59.64141559422312,16.499724607207273,0.14250081550339316,1.8571011866087788,42.15305484629066,5,0.45454545454545453,adequate
ENSG00000203666.13,11,40.349149484174035,17.580886916055245,0.2112997238211921,2.0471291951206574,43.19934933343431,5,0.45454545454545453,adequate
ENSG00000213625.9,4,39.11760115180258,19.757784004817566,0.04524713356420657,0.08137670060704064,58.79400845601311,2,0.5,adequate
ENSG00000260088.1,12,39.04431151541102,9.88270681134093,0.05520920018142433,1.1629123872624267,50.8052986004857,6,0.5,adequate
ENSG00000272750.1,12,37.821477218410294,6.78557686836151,0.20116217725026292,2.1482103867681577,37.281455119552454,8,0.6666666666666666,adequate
ENSG00000286619.1,22,36.292696412155436,1.768436050455223,5.491353367665182e-5,0.22236742749908842,18.575936748227207,14,0.6363636363636364,adequate
ENSG00000198468.10,33,34.70263091763639,1.3109442841315038,0.002640180377337353,0.15825131729541045,18.483128217758296,22,0.6666666666666666,adequate
ENSG00000233184.8,18,33.273138747130645,9.72924582295327,0.006701071910818352,0.5570998509259812,59.63068484479358,9,0.5,adequate
ENSG00000163041.13,16,32.04774611343943,18.821699905878887,0.0011686375626775488,3.3027397138786627,38.3169128650954,5,0.3125,adequate
ENSG00000238078.1,5,30.52913492952768,31.7071750131603,5.18489832027217e-4,0.004631075817900875,35.639825347651794,2,0.4,adequate
ENSG00000116874.12,17,30.44370715202993,17.53129368601786,0.011535434517678201,4.337920795424391,46.39607190313118,5,0.29411764705882354,adequate
ENSG00000231365.7,17,30.412318866558255,17.13048127180421,0.0077651552027961125,1.6236855521383586,42.27542155076785,8,0.47058823529411764,adequate
ENSG00000272668.2,23,30.330662915261595,1.0794821677332769,0.004485365954764549,0.23497284533318186,2.1049143121356724,20,0.8695652173913043,adequate
ENSG00000272823.1,5,29.175788478204204,26.876993624730908,0.0303296777762297,0.15688379335039895,28.988321534212652,2,0.4,adequate
ENSG00000122481.17,26,27.42257266267369,22.614575731995537,0.005050732593868251,0.9497470410866913,40.85672668409964,10,0.38461538461538464,adequate
ENSG00000229739.4,15,26.73296928920106,31.195739626390438,0.07624809604774081,17.475478528935597,34.83265733025433,1,0.06666666666666667,adequate
ENSG00000135778.12,9,26.716031864337005,2.474548395399154,0.1672061405024159,0.34262595344886304,28.33573047462595,6,0.6666666666666666,adequate
